products:ID,value,:LABEL
2078380,中国建设银行山东省分行“乾元通财”2020年第228期理财产品,理财产品
2078378,中国建设银行山东省分行“乾元通财”2020年第226期理财产品,理财产品
2078374,中国建设银行山东省分行“乾元通财”2020年第222期理财产品,理财产品
2077251,聚多宝·多盈第20022期净值型人民币理财产品,理财产品
2077104,“财坤”CK200179期人民币理财产品,理财产品
2076617,中国建设银行苏州分行“乾元―鑫溢江南”非保本型人民币2020年第298期理财产品,理财产品
2076020,中国建设银行苏州分行“乾元―鑫溢江南”非保本型人民币2020年第277期理财产品,理财产品
2076019,中国建设银行苏州分行“乾元―鑫溢江南”非保本型人民币2020年第276期理财产品,理财产品
2075547,中银平稳理财计划-智荟系列208749期,理财产品
2075542,中银平稳理财计划-智荟系列208744期,理财产品
2075219,浙江富阳农村商业银行股份有限公司丰收喜乐2020年第129期人民币理财产品,理财产品
2075218,浙江富阳农村商业银行股份有限公司丰收喜乐2020年第128期人民币理财产品,理财产品
2075204,浙江富阳农村商业银行股份有限公司丰收喜乐2020年第130期人民币理财产品,理财产品
2072988,创盈系列E2996,理财产品
2072624,聚宝财富融盈2年定开2期,理财产品
2072100,(手机银行理财季)中银平稳理财计划-智荟系列201788期,理财产品
2071872,稳健成长（2020）98期,理财产品
2071053,蒙银财慧系列20074期C款,理财产品
2071052,蒙银财慧系列20074期B款,理财产品
2069343,唐山银行盛唐理财唐赢2020年第12期（S款）理财产品,理财产品
