property:ID,value,:LABEL
n128p18,975,实际天数（天）
n128p20,"北京,上海,天津,山东,青岛,黑龙江,吉林,辽宁,大连,江苏,浙江,宁波,江西,安徽,福建,厦门,山西,河南,河北,湖南,湖北,广东,深圳,广西,海南,重庆,四川,云南,贵州,陕西,甘肃,青海,内蒙古,宁夏,新疆,西藏",产品销售区域
n128p22,3000000.0,认购价格
n129p0,C1126520000036,登记编码
n130p0,C1125120000076,登记编码
n130p5,浙江新昌农村商业银行股份有限公司,发行机构
n130p6,C11251,发行机构代码
n130p18,111,实际天数（天）
n131p0,C1040320000356,登记编码
n132p0,C1040320000353,登记编码
n133p0,C1010420003923,登记编码
n133p16,2020/12/04,产品终止日期
n134p0,C1010420003919,登记编码
n134p16,2020/11/19,产品终止日期
n134p18,140,实际天数（天）
n135p0,C1010420003918,登记编码
n135p18,117,实际天数（天）
n136p0,C1010420003879,登记编码
n136p18,157,实际天数（天）
n136p22,500000.0,认购价格
n137p0,C1010420003753,登记编码
n138p0,C1010420003752,登记编码
n138p18,119,实际天数（天）
n139p0,C1092020000696,登记编码
n139p16,2020/08/10,产品终止日期
n140p0,C1010520006648,登记编码
n140p16,2021/01/28,产品终止日期
n140p18,206,实际天数（天）
n140p20,山东,产品销售区域
n141p0,C1239620000049,登记编码
n142p0,C1092020000687,登记编码
n143p0,C1092020000686,登记编码
n143p16,2020/08/03,产品终止日期
n144p0,C1104420000222,登记编码
n144p5,天津农村商业银行股份有限公司,发行机构
n144p6,C11044,发行机构代码
n144p18,109,实际天数（天）
n145p0,C1080420000007,登记编码
n145p5,徽商银行股份有限公司,发行机构
n145p6,C10804,发行机构代码
n145p20,"安徽,江苏,北京,四川,深圳,宁波",产品销售区域
n146p0,C1150120000092,登记编码
n146p16,2020/12/02,产品终止日期
n146p18,153,实际天数（天）
n147p0,C1010420003663,登记编码
n147p18,160,实际天数（天）
n148p0,C1077220000147,登记编码
n148p16,2021/01/05,产品终止日期
n148p18,186,实际天数（天）
n149p0,C1077220A000032,登记编码
n149p18,180,实际天数（天）
n150p0,C1077220000133,登记编码
n150p16,2020/09/29,产品终止日期
n151p0,Z7001020000177,登记编码
n151p16,2022/08/08,产品终止日期
n151p18,762,实际天数（天）
n152p0,Z7001020000174,登记编码
n152p16,2021/11/08,产品终止日期
n152p18,489,实际天数（天）
n153p0,C1010420003500,登记编码
n154p0,C1010420003499,登记编码
n154p16,2020/12/18,产品终止日期
n154p18,168,实际天数（天）
n155p0,C1010420003496,登记编码
n155p16,2020/12/16,产品终止日期
n155p18,170,实际天数（天）
n156p0,C1010420003495,登记编码
n156p18,158,实际天数（天）
n157p0,C1123520000197,登记编码
n157p5,浙江温州鹿城农村商业银行股份有限公司,发行机构
n157p6,C11235,发行机构代码
n158p0,C3210120000049,登记编码
n158p5,浙江永康农村商业银行股份有限公司,发行机构
n158p6,C32101,发行机构代码
n159p0,C1104420000213,登记编码
n159p16,2021/04/08,产品终止日期
n159p18,279,实际天数（天）
n160p0,C1083520000255,登记编码
n161p0,C1091220000504,登记编码
n161p5,上海银行股份有限公司,发行机构
n161p6,C10912,发行机构代码
n161p20,"北京,天津,上海,江苏,浙江,四川,宁波,广东,深圳",产品销售区域
n162p0,C1010420003216,登记编码
n162p18,159,实际天数（天）
n163p0,C1209620000142,登记编码
n164p0,C1115020000027,登记编码
n164p5,江苏睢宁农村商业银行股份有限公司,发行机构
n164p6,C11150,发行机构代码
n165p0,C1122120000525,登记编码
n165p5,上海农村商业银行股份有限公司,发行机构
n165p6,C11221,发行机构代码
n165p16,2020/10/16,产品终止日期
n165p20,"上海,江苏,浙江,湖南",产品销售区域
n166p0,C1138220000025,登记编码
n166p16,2020/09/14,产品终止日期
n166p18,69,实际天数（天）
n167p0,C1412720000081,登记编码
n168p0,Z7001120000046,登记编码
n168p5,农银理财有限责任公司,发行机构
n168p6,Z70011,发行机构代码
n168p16,2030/07/09,产品终止日期
n168p18,3652,实际天数（天）
n169p0,C1104420000151,登记编码
n169p16,2020/11/26,产品终止日期
n169p18,146,实际天数（天）
n170p0,C1030120000680,登记编码
n170p18,141,实际天数（天）
n171p0,C1010520005248,登记编码
n172p0,C1010520004745,登记编码
n173p0,C1031019C000055,登记编码
n173p3,1年以上,期限类型
n173p5,上海浦东发展银行股份有限公司,发行机构
n173p6,C10310,发行机构代码
n173p10,4,风险等级编号
n173p11,四级(中高),风险等级
n173p14,2021/01/01,产品起始日期
n173p15,2021/12/31,产品终止日期
n173p19,非标准化债权类,投资资产类型
n173p20,"北京,天津,河北,山西,内蒙古,辽宁,大连,吉林,黑龙江,上海,江苏,浙江,宁波,安徽,福建,厦门,江西,山东,青岛,河南,湖北,湖南,广东,深圳,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆",产品销售区域
n173p23,私人银行客户专属,产品类别
n174p0,C1092020A000102,登记编码
n174p13,2020/06/28,募集起始日期
n174p16,2021/12/20,产品终止日期
n174p18,538,实际天数（天）
n175p0,C1010520A000554,登记编码
n175p20,广西,产品销售区域
n175p22,100000000.0,认购价格
n176p0,C1123520A000011,登记编码
n176p18,164,实际天数（天）
n177p0,C1092120A000391,登记编码
n177p5,宁波银行股份有限公司,发行机构
n177p6,C10921,发行机构代码
n177p20,"北京,上海,江苏,浙江,宁波,深圳",产品销售区域
n177p22,400000.0,认购价格
n178p0,C1010220A000128,登记编码
n178p5,中国工商银行股份有限公司,发行机构
n178p6,C10102,发行机构代码
n179p0,C1010420003982,登记编码
n180p0,C1010420003958,登记编码
n181p0,C1010420003909,登记编码
n181p18,139,实际天数（天）
n182p0,C1092020000689,登记编码
n183p0,C3209720000057,登记编码
n184p0,C1088220001015,登记编码
n184p5,青岛银行股份有限公司,发行机构
n184p6,C10882,发行机构代码
n185p0,C1088220001014,登记编码
n186p0,C1088220001013,登记编码
n187p0,C1088220001002,登记编码
n187p18,188,实际天数（天）
n188p0,C1088220000986,登记编码
n188p16,2022/07/20,产品终止日期
n188p18,750,实际天数（天）
n189p0,C1088220000968,登记编码
n189p18,189,实际天数（天）
n190p0,C1088220000956,登记编码
n191p0,C1010520006646,登记编码
n192p0,C1093020000075,登记编码
n192p5,浙江民泰商业银行股份有限公司,发行机构
n192p6,C10930,发行机构代码
n192p20,"上海,浙江,四川",产品销售区域
n193p0,C1226920000141,登记编码
n193p5,中山农村商业银行股份有限公司,发行机构
n193p6,C12269,发行机构代码
n194p0,C1010520006467,登记编码
n194p18,156,实际天数（天）
n195p0,C1030420A001268,登记编码
n195p5,华夏银行股份有限公司,发行机构
n195p6,C10304,发行机构代码
n195p20,"北京,天津,河北,山西,内蒙古,辽宁,吉林,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,重庆,四川,云南,陕西,新疆,大连,宁波,厦门,青岛,深圳,海南,宁夏,黑龙江,贵州,青海,甘肃",产品销售区域
n195p22,50000000.0,认购价格
n196p0,C1080320001035,登记编码
n196p5,天津银行股份有限公司,发行机构
n196p6,C10803,发行机构代码
n196p20,"北京,天津,河北,上海,山东,四川",产品销售区域
n197p0,C1080320001031,登记编码
n197p18,169,实际天数（天）
n198p0,C1010520006142,登记编码
n198p20,深圳,产品销售区域
n199p0,C1209620000141,登记编码
n199p16,2020/09/01,产品终止日期
n199p18,60,实际天数（天）
n200p0,C1087520000285,登记编码
n200p5,内蒙古银行股份有限公司,发行机构
n200p6,C10875,发行机构代码
n200p16,2020/09/02,产品终止日期
n200p20,"内蒙古,黑龙江",产品销售区域
n201p0,C1140420000128,登记编码
n201p5,桂林银行股份有限公司,发行机构
n201p6,C11404,发行机构代码
n201p20,全国,产品销售区域
n202p0,C1092720000461,登记编码
n202p16,2020/12/31,产品终止日期
n203p0,C1092720000459,登记编码
n204p0,C1092720000421,登记编码
n205p0,C1010520005691,登记编码
n205p18,183,实际天数（天）
n206p0,C1010520005690,登记编码
n207p0,C1131320000113,登记编码
n207p18,36,实际天数（天）
n208p0,C1030920A000067,登记编码
n208p5,兴业银行股份有限公司,发行机构
n208p6,C10309,发行机构代码
n208p16,2020/09/10,产品终止日期
n208p18,74,实际天数（天）
n209p0,C1128820000162,登记编码
n209p5,龙江银行股份有限公司,发行机构
n209p6,C11288,发行机构代码
n209p18,163,实际天数（天）
n209p20,黑龙江,产品销售区域
n210p0,C1082720A000025,登记编码
n210p18,167,实际天数（天）
n211p0,C1030420001530,登记编码
n211p16,2020/11/11,产品终止日期
n212p0,C1030420001529,登记编码
n213p0,C1030219A003973,登记编码
n213p5,中信银行股份有限公司,发行机构
n213p6,C10302,发行机构代码
n213p16,2099/12/29,产品终止日期
n213p18,29036,实际天数（天）
n213p20,"北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,台湾,香港,澳门",产品销售区域
n214p0,C1062220000041,登记编码
n214p5,大华银行（中国）有限公司,发行机构
n214p6,C10622,发行机构代码
n214p8,开放式非净值型,运作模式
n214p11,5,风险等级编号
n214p12,五级(高),风险等级
n214p13,2020/03/03,募集起始日期
n214p15,2020/03/06,产品起始日期
n214p16,2030/09/10,产品终止日期
n214p18,3840,实际天数（天）
n214p20,"北京,上海,重庆",产品销售区域
n214p21,外资银行,机构类别
n215p0,C1010420001069,登记编码
n215p15,2020/03/05,产品起始日期
n215p18,127,实际天数（天）
n216p0,C3132420000047,登记编码
n217p0,C3132420000046,登记编码
n217p13,2020/08/25,募集起始日期
n217p16,2020/11/30,产品终止日期
n218p0,C3132420000045,登记编码
n219p0,C1138220000029,登记编码
n220p0,C3209720000064,登记编码
n220p15,2020/07/29,产品起始日期
n220p18,113,实际天数（天）
n221p0,C1125620000153,登记编码
n221p16,2020/12/01,产品终止日期
n222p0,C1126420000032,登记编码
n222p16,2020/11/05,产品终止日期
n223p0,C3207620000051,登记编码
n224p0,C1123120000028,登记编码
n225p0,C1126520000040,登记编码
n225p16,2021/07/27,产品终止日期
n226p0,C1125620000160,登记编码
n227p0,C1122920000171,登记编码
n228p0,C1138220000028,登记编码
n228p16,2020/09/03,产品终止日期
n228p18,37,实际天数（天）
n229p0,C3132420000041,登记编码
